playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","126.2667","231","null","1.3","1","1","null","null","18.9","1.62","-0.62","63","231","231","4.3749","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","117.4333","248.6","null","5","2","1","null","null","33.1","3.28","-1.28","55.3","248.6","248.6","3.5731","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","107.3667","212.1","null","3.4","3","2","null","null","10.45","5.29","-2.29","58.3","212.1","212.1","5.7596","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","107.3667","212.1","null","3","4","3","null","null","22.7","4.66","-0.66","58.1","212.1","212.1","5.7163","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","88.0333","219.2","null","5.9","5","2","null","null","10.05","5.68","-0.68","49.2","219.2","219.2","1.8934","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","86.4667","191.2","null","8.9","6","4","null","null","11.45","11.19","-5.19","50.5","191.2","191.2","5.4382","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","82.8667","187.6","null","20.6","7","5","null","null","15.8","20.2","-13.2","38.3","187.6","187.6","4.9585","null",
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","80.6333","211.8","null","16.7","8","3","null","null","6.9","11.72","-3.72","47","211.8","211.8","6.2818","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","79.42","334.62","null","34.7","9","1","null","null","23.89","11.8","-2.8","33","334.62","334.62","5.1987","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","75.3333","206.5","null","7.8","10","4","null","null","6.85","7.27","2.73","57.6","206.5","206.5","1.9775","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","72.1333","203.3","null","17","11","5","null","null","8.35","15.12","-4.12","37.2","203.3","203.3","3.5413","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","67.1667","171.9","null","8.1","12","6","null","null","1.8","13.65","-1.65","48","171.9","171.9","4.6927","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","66.9667","171.7","null","14.5","13","7","null","null","4.45","17.96","-4.96","47.4","171.7","171.7","6.8527","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","65.72","320.92","null","44.4","14","2","null","null","34.93","26.98","-12.98","18.7","320.92","320.92","2.9347","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","64.8333","196","null","10.9","15","6","null","null","4.3","13.39","1.61","43.3","196","196","2.0671","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","63.7667","168.5","null","19.3","16","8","null","null","2.8","24.93","-8.93","36.6","168.5","168.5","3.2763","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","62.7333","193.9","null","9.2","17","7","null","null","4.55","10.52","6.48","55.4","193.9","193.9","2.8919","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","61.2667","166","null","50.6","18","9","null","null","0.95","42.49","-24.49","16","166","166","3.6902","null",
"2543457","null","Sammy Watkins","WR","BUF","WR","BUF","60.6667","165.4","null","29.6","19","10","null","null","3.2","38.11","-19.11","30","165.4","165.4","7.4058","null",
"2552487","null","Amari Cooper","WR","OAK","WR","OAK","59.9667","164.7","null","27","20","11","null","null","5.95","32.12","-12.12","28.9","164.7","164.7","4.459","null",
"2543583","null","Devonta Freeman","RB","ATL","RB","ATL","58.3333","189.5","null","21.7","21","8","null","null","4.1","14.83","6.17","45.3","189.5","189.5","5.4042","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","58.1333","172.7","null","11.2","22","1","null","null","28.2","12.12","9.88","49.1","172.7","172.7","4.0893","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","58.0333","189.2","null","23.4","23","9","null","null","10.85","19.88","3.12","36.7","189.2","189.2","4.7163","null",
"2540154","null","Keenan Allen","WR","SD","WR","SD","54.9667","159.7","null","22.6","24","12","null","null","2.25","29.52","-5.52","25.1","159.7","159.7","6.872","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","53.0667","157.8","null","21.4","25","13","null","null","0.8","33.34","-8.34","33.3","157.8","157.8","6.8669","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","52.3667","157.1","null","28.8","26","14","null","null","0.85","33.6","-7.6","21.7","157.1","157.1","4.7716","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","52.1667","156.9","null","55.6","27","15","null","null","1.7","46.28","-19.28","15.5","156.9","156.9","5.4223","null",
"2543509","null","Allen Robinson","WR","JAC","WR","JAC","50.8667","155.6","null","12.3","28","16","null","null","1.35","23.03","4.97","40.7","155.6","155.6","4.9625","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","50.4333","181.6","null","20.9","29","10","null","null","8.1","23.49","5.51","36.6","181.6","181.6","5.3509","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","50.0667","154.8","null","19.4","30","17","null","null","1.8","32.19","-2.19","31.8","154.8","154.8","4.8429","null",
"2543498","null","Brandin Cooks","WR","NO","WR","NO","48.9667","153.7","null","26.2","31","18","null","null","3.35","36.68","-5.68","28","153.7","153.7","4.9013","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","47.5667","152.3","null","41.5","32","19","null","null","4","53.88","-21.88","14.2","152.3","152.3","3.7953","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","45.34","300.54","null","35.4","33","3","null","null","30.75","16.96","16.04","27.5","300.54","300.54","2.5906","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","43.9333","175.1","null","29.7","34","11","null","null","3.75","31.5","2.5","22.7","175.1","175.1","4.2308","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","43.6667","148.4","null","45.4","35","20","null","null","1.45","61.48","-26.48","12.3","148.4","148.4","5.0166","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","43.4667","148.2","null","33.1","36","21","null","null","4.6","44.4","-8.4","24.7","148.2","148.2","3.5457","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","40.9667","145.7","null","69.7","37","22","null","null","4.45","68.32","-31.32","8.6","145.7","145.7","4.9699","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","40.7333","171.9","null","23.5","38","12","null","null","1.75","26.06","11.94","37.8","171.9","171.9","3.3904","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","39.6333","170.8","null","38.9","39","13","null","null","1.95","32.45","6.55","15.3","170.8","170.8","4.9541","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","38.3333","169.5","null","22.7","40","14","null","null","5.6","26.97","13.03","33.4","169.5","169.5","3.2934","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","37.0333","168.2","null","36.9","41","15","null","null","8.75","41.32","-0.32","22.4","168.2","168.2","5.9966","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","36.7667","141.5","null","48.7","42","23","null","null","0.9","46.75","-4.75","19.8","141.5","141.5","6.2339","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","36.2667","141","null","62.3","43","24","null","null","1.9","67.11","-24.11","8.2","141","141","3.3252","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","35.4667","140.2","null","37.8","44","25","null","null","4.5","48.01","-4.01","15.8","140.2","140.2","4.5068","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","33.2667","138","null","55.4","45","26","null","null","5.55","68.4","-23.4","6.9","138","138","4.9263","null",
"2540160","null","Jordan Reed","TE","WAS","TE","WAS","32.2333","146.8","null","42","46","2","null","null","10.1","38.32","7.68","25.7","146.8","146.8","7.5907","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","28.6667","133.4","null","64","47","27","null","null","2.9","81.46","-34.46","4.9","133.4","133.4","3.6239","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","28.4333","159.6","null","43.4","48","16","null","null","0.65","43.31","4.69","20","159.6","159.6","3.4664","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","28.1333","159.3","null","52","49","17","null","null","2.95","51.06","-2.06","23.6","159.3","159.3","4.1002","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","27.6333","142.2","null","46.7","50","3","null","null","17.95","41.73","8.27","17.9","142.2","142.2","3.0046","null",
"2553733","null","Thomas Rawls","RB","SEA","RB","SEA","27.4333","158.6","null","42.7","51","18","null","null","5","42.22","8.78","28.1","158.6","158.6","4.1651","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","26.7667","131.5","null","51.6","52","28","null","null","2.85","70.43","-18.43","8.8","131.5","131.5","3.5421","null",
"2543488","null","Jarvis Landry","WR","MIA","WR","MIA","24.7667","129.5","null","47","53","29","null","null","1.8","50.6","2.4","17.4","129.5","129.5","4.1716","null",
"497326","null","Golden Tate","WR","DET","WR","DET","23.0667","127.8","null","52.7","54","30","null","null","4.8","63.95","-9.95","11.3","127.8","127.8","3.5328","null",
"2552379","null","Jeremy Langford","RB","CHI","RB","CHI","22.9333","154.1","null","59.8","55","19","null","null","1.1","51.11","3.89","9.9","154.1","154.1","2.8996","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","22.8667","127.6","null","82.3","56","31","null","null","9.85","88.71","-32.71","3.5","127.6","127.6","3.6283","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","21.9333","153.1","null","78.7","57","20","null","null","5.85","72.6","-15.6","4.6","153.1","153.1","3.3121","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","21.7333","152.9","null","48","58","21","null","null","13.2","54.67","3.33","15.7","152.9","152.9","2.4816","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","16.6333","131.2","null","68.8","59","4","null","null","15.05","60.14","-1.14","8.4","131.2","131.2","3.1494","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","16.24","271.44","null","47.5","60","4","null","null","4.72","35.57","24.43","16.2","271.44","271.44","5.1182","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","13.6667","118.4","null","109.2","61","32","null","null","2.35","118.67","-57.67","1.8","118.4","118.4","3.6221","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","12.94","268.14","null","70.6","62","5","null","null","4.74","54.2","7.8","9.1","268.14","268.14","2.7122","null",
"2552430","null","Tyler Lockett","WR","SEA","WR","SEA","12.3667","117.1","null","76.7","63","33","null","null","3.85","86.57","-23.57","3.4","117.1","117.1","3.6093","null",
