playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","122.4733","240.9","null","1.3","1","1","null","null","27.275","1.6","-0.6","63","240.9","240.9","4.4424","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","101.5833","220.01","null","3.4","2","2","null","null","18.915","5.1","-3.1","58.3","220.01","220.01","5.8895","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","100.1967","231.64","null","5","3","1","null","null","7.305","5","-2","55.3","231.64","231.64","3.9413","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","95.5367","226.98","null","7.8","4","2","null","null","8.64","4.4","-0.4","57.6","226.98","226.98","2.4282","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","90.2467","221.69","null","5.9","5","3","null","null","8.965","9.6","-4.6","49.2","221.69","221.69","2.3422","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","88.8133","207.24","null","3","6","3","null","null","18.475","3.4","2.6","58.1","207.24","207.24","5.8443","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","83.5467","214.99","null","17","7","4","null","null","6.245","21.1","-14.1","37.2","214.99","214.99","3.8619","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","79.0167","210.46","null","22.7","8","5","null","null","3.58","24.8","-16.8","33.4","210.46","210.46","3.6432","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","76.5233","194.95","null","8.9","9","4","null","null","13.045","8.7","0.3","50.5","194.95","194.95","5.5543","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","75.5867","207.03","null","10.9","10","6","null","null","2.9","16.1","-6.1","43.3","207.03","207.03","2.5124","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","75.2867","206.73","null","9.2","11","7","null","null","6.585","8.2","2.8","55.4","206.73","206.73","3.2802","null",
"2543583","null","Devonta Freeman","RB","ATL","RB","ATL","70.0867","201.53","null","21.7","12","8","null","null","4.455","12.3","-0.3","45.3","201.53","201.53","5.5624","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","67.3453","339.492","null","34.7","13","1","null","null","24.82","17.2","-4.2","33","339.492","339.492","5.3851","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","67.3167","198.76","null","20.9","14","9","null","null","6.07","23.1","-9.1","36.6","198.76","198.76","5.5725","null",
