playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","114.8233","232.1","null","1.3","1","1","null","null","20.06","1.62","-0.62","63","232.1","232.1","4.2083","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","97.3633","214.64","null","3.4","2","2","null","null","11.81","5.29","-3.29","58.3","214.64","214.64","5.615","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","92.1633","209.44","null","3","3","3","null","null","21.555","4.66","-1.66","58.1","209.44","209.44","5.5711","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","85.3933","212.87","null","5","4","1","null","null","2.275","3.28","0.72","55.3","212.87","212.87","3.7764","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","84.0233","211.5","null","7.8","5","2","null","null","3.29","7.27","-2.27","57.6","211.5","211.5","2.36","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","82.2133","209.69","null","5.9","6","3","null","null","6.235","5.68","0.32","49.2","209.69","209.69","2.28","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","79.2533","206.73","null","17","7","4","null","null","9.115","15.12","-8.12","37.2","206.73","206.73","3.7067","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","78.9433","196.22","null","8.9","8","4","null","null","19.05","11.19","-3.19","50.5","196.22","196.22","5.2889","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","72.7033","200.18","null","10.9","9","5","null","null","9","13.39","-4.39","43.3","200.18","200.18","2.4388","null",
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","67.5733","195.05","null","16.7","10","6","null","null","8.39","11.72","-1.72","47","195.05","195.05","6.125","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","65.5587","327.738","null","34.7","11","1","null","null","12.544","11.8","-0.8","33","327.738","327.738","5.2139","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","62.2733","179.55","null","8.1","12","5","null","null","5.66","13.65","-1.65","48","179.55","179.55","4.5314","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","59.8333","187.31","null","9.2","13","7","null","null","3.325","10.52","2.48","55.4","187.31","187.31","3.159","null",
