Rk	Player	Team	Pos	Bye	Age	Pass Yds	TD	Int	Rush Yds	TD	Rec	Yds	TD	Projected Points	ADP
1	Antonio Brown	PIT	WR	8	28	0	0	0	24	0	124	1,691	10	229.5	1.4
2	Odell Beckham Jr	NYG	WR	8	23	0	0	0	12	0	101	1,506	11	215.8	3
3	David Johnson	ARI	RB	9	24	0	0	0	983	8	54	489	3	209.2	3.5
4	Todd Gurley	LA	RB	8	22	0	0	0	1,320	10	35	280	1	222	3.7
5	Adrian Peterson	MIN	RB	6	31	0	0	0	1,321	10	31	227	1	214.8	5.4
6	Ezekiel Elliott	DAL	RB	7	21	0	0	0	1,172	8	39	311	2	204.3	6.4
7	Julio Jones	ATL	WR	11	27	0	0	0	7	0	115	1,632	9	215.9	6.8
8	DeAndre Hopkins	HOU	WR	9	24	0	0	0	0	0	92	1,289	9	182.9	7.6
9	Lamar Miller	HOU	RB	9	25	0	0	0	1,179	7	48	369	2	204.8	8.8
10	AJ Green	CIN	WR	9	28	0	0	0	0	0	87	1,259	10	183.9	9.6
11	Le'Veon Bell	PIT	RB	8	24	0	0	0	960	8	48	410	2	195	10.4
12	Allen Robinson	JAX	WR	5	23	0	0	0	0	0	79	1,243	9	178.3	12.1
13	Rob Gronkowski	NE	TE	9	27	0	0	0	0	0	82	1,087	11	174.7	13.2
14	Jamaal Charles	KC	RB	5	29	0	0	0	1,013	8	45	363	3	197.6	14.2
15	Dez Bryant	DAL	WR	7	27	0	0	0	0	0	80	1,103	9	164.3	15
16	Eddie Lacy	GB	RB	4	25	0	0	0	1,066	8	31	271	2	189.7	15.5
17	Mike Evans	TB	WR	6	23	0	0	0	0	0	78	1,198	8	165.8	16.8
18	Brandon Marshall	NYJ	WR	11	32	0	0	0	0	0	88	1,195	8	165.5	17.9
19	Devonta Freeman	ATL	RB	11	24	0	0	0	868	7	59	476	2	184.4	18.7
20	Jordy Nelson	GB	WR	4	31	0	0	0	2	0	81	1,178	9	170	19.1
21	LeSean McCoy	BUF	RB	10	28	0	0	0	1,087	7	38	287	2	187.4	20.2
22	Keenan Allen	SD	WR	11	24	0	0	0	0	0	99	1,136	7	153.6	21.2
23	Amari Cooper	OAK	WR	10	22	0	0	0	4	0	82	1,159	7	156.3	21.9
24	Mark Ingram	NO	RB	5	26	0	0	0	969	8	50	371	1	184	23.2
25	Doug Martin	TB	RB	6	27	0	0	0	1,194	7	32	235	1	184.9	24.9
26	Alshon Jeffery	CHI	WR	9	26	0	0	0	2	0	84	1,222	8	170.4	26.3
27	Brandin Cooks	NO	WR	5	22	0	0	0	40	0	85	1,137	7	157.7	27.9
28	CJ Anderson	DEN	RB	11	25	0	0	0	1,027	7	33	243	1	171	28.4
29	Sammy Watkins	BUF	WR	10	23	0	0	0	2	0	71	1,071	8	155.3	28.8
30	Cam Newton	CAR	QB	7	27	3,855	27	12	599	8	0	0	0	346.1	30.3
31	TY Hilton	IND	WR	10	26	0	0	0	4	0	78	1,200	7	162.4	30.3
32	Demaryius Thomas	DEN	WR	11	28	0	0	0	0	0	89	1,159	7	155.9	31.3
33	Aaron Rodgers	GB	QB	4	32	4,318	33	8	257	2	0	0	0	326.4	31.8
34	Latavius Murray	OAK	RB	10	25	0	0	0	989	7	34	239	1	166.8	31.8
35	Randall Cobb	GB	WR	4	26	0	0	0	53	0	82	1,069	7	154.2	32.9
