player,salary,team,pos,opp,ceil,floor,fpts
"Jonathan Stewart",6400,CAR,RB,DEN,,,11.85
"Cameron Artis-Payne",5200,CAR,RB,DEN,,,3.74
"Kelvin Benjamin",7300,CAR,WR,DEN,,,9.82
"Devin Funchess",6200,CAR,WR,DEN,,,7.59
"Ted Ginn",5900,CAR,WR,DEN,,,6.81
"Philly Brown",5600,CAR,WR,DEN,,,5.01
"Greg Olsen",7500,CAR,TE,DEN,,,13.42
"Ed Dickson",4500,CAR,TE,DEN,,,2.08
"C.J. Anderson",6700,DEN,RB,CAR,,,13.34
"Demaryius Thomas",7200,DEN,WR,CAR,,,12.95
"Emmanuel Sanders",6800,DEN,WR,CAR,,,12.09
"Bennie Fowler",4600,DEN,WR,CAR,,,3.74
"Cody Latimer",4500,DEN,WR,CAR,,,3.04
"Virgil Green",4600,DEN,TE,CAR,,,7.42
"Charles Johnson",4600,CAR,WR,DEN,,,3.98
"Devontae Booker",5000,DEN,RB,CAR,,,6.28
"Adrian Peterson",8200,MIN,RB,TEN,,,17.14
"Jerick McKinnon",5200,MIN,RB,TEN,,,4.35
"Stefon Diggs",6300,MIN,WR,TEN,,,9.98
"Laquon Treadwell",5900,MIN,WR,TEN,,,6.8
"Jarius Wright",4900,MIN,WR,TEN,,,4.69
"Kyle Rudolph",5300,MIN,TE,TEN,,,6.65
"MyCole Pruitt",4500,MIN,TE,TEN,,,1.69
"DeMarco Murray",6500,TEN,RB,MIN,,,10.68
"Derrick Henry",5400,TEN,RB,MIN,,,6.12
"Rishard Matthews",5200,TEN,WR,MIN,,,8.45
"Tajae Sharpe",4800,TEN,WR,MIN,,,9.5
"Kendall Wright",5400,TEN,WR,MIN,,,6.81
"Delanie Walker",6500,TEN,TE,MIN,,,11.13
"Anthony Fasano",4500,TEN,TE,MIN,,,3.06
"Andre Johnson",4900,TEN,WR,MIN,,,3.61
"Dorial Green-Beckham",4900,PHI,WR,CLE,,,6.97
"Isaiah Crowell",5700,CLE,RB,PHI,,,7.98
"Duke Johnson",5600,CLE,RB,PHI,,,9.19
"Corey Coleman",6500,CLE,WR,PHI,,,10.16
"Andrew Hawkins",5700,CLE,WR,PHI,,,3.43
"Gary Barnidge",6300,CLE,TE,PHI,,,10.37
"Ryan Mathews",6100,PHI,RB,CLE,,,13.09
"Darren Sproles",5600,PHI,RB,CLE,,,8.83
"Jordan Matthews",6600,PHI,WR,CLE,,,11.1
"Nelson Agholor",5400,PHI,WR,CLE,,,5.77
"Rueben Randle",5300,PHI,WR,CLE,,,7.95
"Brent Celek",4900,PHI,TE,CLE,,,5.04
"Zach Ertz",5700,PHI,TE,CLE,,,11.21
"Eddie Lacy",7100,GBP,RB,JAC,,,13.09
"James Starks",5600,GBP,RB,JAC,,,6.5
"Jordy Nelson",8400,GBP,WR,JAC,,,15.7
"Randall Cobb",7200,GBP,WR,JAC,,,13.9
"Davante Adams",5300,GBP,WR,JAC,,,5.82
"Jared Abbrederis",4700,GBP,WR,JAC,,,4.22
"Richard Rodgers",4800,GBP,TE,JAC,,,5.62
