Rk	Player	Pos	Team	Gms	Pass Yds	TD	Int	Rush Yds	TD	Rec	Yds	TD	PPG	
Fantasy Points
1	Cam Newton	QB	CAR	16	3,855	27	12	599	8	0	0	0	21.6	346.10
2	Aaron Rodgers	QB	GB	16	4,318	33	8	257	2	0	0	0	20.4	326.42
3	Russell Wilson	QB	SEA	16	4,008	28	10	562	2	0	0	0	20	320.52
4	Andrew Luck	QB	IND	16	4,472	32	17	292	2	0	0	0	19.6	314.08
5	Drew Brees	QB	NO	16	4,849	32	14	32	1	0	0	0	18.9	303.16
6	Ben Roethlisberger	QB	PIT	16	4,593	29	13	69	1	0	0	0	17.9	286.62
7	Blake Bortles	QB	JAX	16	4,116	29	17	317	1	0	0	0	17.8	284.34
8	Carson Palmer	QB	ARI	16	4,477	31	13	40	0	0	0	0	17.6	281.08
9	Eli Manning	QB	NYG	16	4,482	31	14	45	0	0	0	0	17.5	279.78
10	Philip Rivers	QB	SD	16	4,544	30	14	47	0	0	0	0	17.4	278.46
11	Jameis Winston	QB	TB	16	4,039	25	15	206	3	0	0	0	16.9	270.16
12	Matthew Stafford	QB	DET	16	4,275	26	13	132	1	0	0	0	16.8	268.20
13	Ryan Tannehill	QB	MIA	16	4,090	25	12	218	1	0	0	0	16.7	267.40
14	Derek Carr	QB	OAK	16	4,086	28	13	116	1	0	0	0	16.7	267.04
15	Kirk Cousins	QB	WAS	16	4,165	27	15	81	2	0	0	0	16.5	264.70
16	Tyrod Taylor	QB	BUF	16	3,299	21	10	506	3	0	0	0	16.5	264.56
17	Ryan Fitzpatrick	QB	NYJ	16	3,820	26	15	239	2	0	0	0	16.4	262.70
18	Andy Dalton	QB	CIN	16	3,860	26	13	170	2	0	0	0	16.3	261.40
19	Marcus Mariota	QB	TEN	16	3,627	22	14	355	3	0	0	0	16.2	258.58
20	Alex Smith	QB	KC	16	3,525	22	8	395	1	0	0	0	16.2	258.50
21	Matt Ryan	QB	ATL	16	4,434	25	14	84	0	0	0	0	16.1	257.76
22	Joe Flacco	QB	BAL	16	4,184	25	16	62	2	0	0	0	15.8	253.56
23	Jay Cutler	QB	CHI	16	3,828	25	16	179	1	0	0	0	15.3	245.02
24	Tom Brady	QB	NE	16	3,438	27	7	41	1	0	0	0	15.1	241.62
25	Antonio Brown	WR	PIT	16	0	0	0	24	0	124	1,691	10	14.3	229.50
26	Brock Osweiler	QB	HOU	16	3,660	23	13	100	0	0	0	0	13.9	222.40
27	Todd Gurley	RB	LA	16	0	0	0	1,320	10	35	280	1	13.9	222
28	Julio Jones	WR	ATL	16	0	0	0	7	0	115	1,632	9	13.5	215.90
29	Odell Beckham Jr	WR	NYG	16	0	0	0	12	0	101	1,506	11	13.5	215.80
30	Adrian Peterson	RB	MIN	16	0	0	0	1,321	10	31	227	1	13.4	214.80
31	Robert Griffin III	QB	CLE	16	3,246	16	12	295	2	0	0	0	13.2	211.34
32	David Johnson	RB	ARI	16	0	0	0	983	8	54	489	3	13.1	209.20
33	Lamar Miller	RB	HOU	16	0	0	0	1,179	7	48	369	2	12.8	204.80
34	Ezekiel Elliott	RB	DAL	16	0	0	0	1,172	8	39	311	2	12.8	204.30
35	Jamaal Charles	RB	KC	16	0	0	0	1,013	8	45	363	3	12.4	197.60
36	Le'Veon Bell	RB	PIT	16	0	0	0	960	8	48	410	2	12.2	195
37	Eddie Lacy	RB	GB	16	0	0	0	1,066	8	31	271	2	11.9	189.70
38	LeSean McCoy	RB	BUF	16	0	0	0	1,087	7	38	287	2	11.7	187.40
39	Doug Martin	RB	TB	16	0	0	0	1,194	7	32	235	1	11.6	184.90
40	Devonta Freeman	RB	ATL	16	0	0	0	868	7	59	476	2	11.5	184.40
41	Mark Ingram	RB	NO	16	0	0	0	969	8	50	371	1	11.5	184
42	AJ Green	WR	CIN	16	0	0	0	0	0	87	1,259	10	11.5	183.90
43	DeAndre Hopkins	WR	HOU	16	0	0	0	0	0	92	1,289	9	11.4	182.90
44	Blaine Gabbert	QB	SF	16	2,767	15	11	253	1	0	0	0	11.2	179.98
45	Allen Robinson	WR	JAX	16	0	0	0	0	0	79	1,243	9	11.1	178.30
46	Rob Gronkowski	TE	NE	16	0	0	0	0	0	82	1,087	11	10.9	174.70
47	Carlos Hyde	RB	SF	16	0	0	0	1,075	7	31	206	1	10.8	172.10
48	CJ Anderson	RB	DEN	16	0	0	0	1,027	7	33	243	1	10.7	171
49	Alshon Jeffery	WR	CHI	16	0	0	0	2	0	84	1,222	8	10.6	170.40
50	Jordy Nelson	WR	GB	16	0	0	0	2	0	81	1,178	9	10.6	170
