playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","133.3167","253.45","null","1.3","1","1","null","null","38.2","1.62","-0.62","63","253.45","253.45","4.5447","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","102.2667","222.4","null","3.4","2","2","null","null","23.35","5.29","-3.29","58.3","222.4","222.4","6.044","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","92.2333","224.5","null","5.9","3","1","null","null","6.65","5.68","-2.68","49.2","224.5","224.5","2.4604","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","87.9667","208.1","null","3","4","3","null","null","19.45","4.66","-0.66","58.1","208.1","208.1","5.9971","null",
"2552475","null","Todd Gurley","RB","LA","RB","LA","85.7333","218","null","5","5","2","null","null","7.8","3.28","1.72","55.3","218","218","4.0728","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","85.4333","217.7","null","7.8","6","3","null","null","15.25","7.27","-1.27","57.6","217.7","217.7","2.5487","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","70.4333","202.7","null","10.9","7","4","null","null","1.45","13.39","-6.39","43.3","202.7","202.7","2.6333","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","69.9333","202.2","null","9.2","8","5","null","null","2.55","10.52","-2.52","55.4","202.2","202.2","3.403","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","69.8667","190","null","8.9","9","4","null","null","5","11.19","-2.19","50.5","190","190","5.6952","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","68.0333","200.3","null","17","10","6","null","null","3.05","15.12","-5.12","37.2","200.3","200.3","3.9802","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","67.1667","187.3","null","14.5","11","5","null","null","6.05","17.96","-6.96","47.4","187.3","187.3","7.2256","null",
