"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16568-6894","QB","Aaron","Rodgers","21.559999465942383","4","8800","DAL@GB","GB","DAL","","","",""
"16568-14190","WR","Julio","Jones","16.339999389648437","5","8500","ATL@SEA","ATL","SEA","","","",""
"16568-22015","QB","Russell","Wilson","15.59000015258789","4","8400","ATL@SEA","SEA","ATL","","","",""
"16568-6893","WR","Jordy","Nelson","16.225000381469727","4","8300","DAL@GB","GB","DAL","","","",""
"16568-38791","RB","Ezekiel","Elliott","19.039999389648436","5","8100","DAL@GB","DAL","GB","","","",""
"16568-45859","QB","Derek","Carr","21.383999633789063","5","7900","KC@OAK","OAK","KC","","","",""
"16568-11435","WR","Dez","Bryant","8.833333333333334","3","7600","DAL@GB","DAL","GB","NA","Knee","",""
"16568-6616","QB","Matt","Ryan","24.91999969482422","5","7600","ATL@SEA","ATL","SEA","","","",""
"16568-14626","WR","Doug","Baldwin","14.149999618530273","4","7600","ATL@SEA","SEA","ATL","","","",""
"16568-32418","RB","Christine","Michael","14.449999809265137","4","7400","ATL@SEA","SEA","ATL","","","",""
"16568-31716","QB","Dak","Prescott","17.532000732421874","5","7200","DAL@GB","DAL","GB","","","",""
"16568-31001","WR","Amari","Cooper","13.719999694824219","5","7100","KC@OAK","OAK","KC","","","",""
"16568-24920","RB","Devonta","Freeman","15.539999389648438","5","7100","ATL@SEA","ATL","SEA","","","",""
"16568-6728","RB","Jamaal","Charles","0.699999988079071","1","7100","KC@OAK","KC","OAK","","","",""
"16568-30968","RB","Eddie","Lacy","8.300000190734863","4","7000","DAL@GB","GB","DAL","","","",""
"16568-14257","WR","Randall","Cobb","8.925000190734863","4","7000","DAL@GB","GB","DAL","","","",""
"16568-9392","WR","Michael","Crabtree","16.4","5","7000","KC@OAK","OAK","KC","","","",""
"16568-11512","TE","Jimmy","Graham","9.649999618530273","4","6900","ATL@SEA","SEA","ATL","","","",""
"16568-7283","WR","Jeremy","Maclin","10.074999809265137","4","6900","KC@OAK","KC","OAK","","","",""
"16568-8005","QB","Alex","Smith","16.1299991607666","4","6800","KC@OAK","KC","OAK","","","",""
"16568-33076","TE","Travis","Kelce","11.25","4","6400","KC@OAK","KC","OAK","","","",""
"16568-32514","QB","Trevone","Boykin","5.400000095367432","1","6000","ATL@SEA","SEA","ATL","","","",""
"16568-6639","QB","Tony","Romo","11.914999961853027","4","6000","DAL@GB","DAL","GB","NA","Back","",""
"16568-34331","RB","Latavius","Murray","11.625","4","6000","KC@OAK","OAK","KC","NA","Toe","",""
"16568-6679","QB","Matt","Schaub","15.300000190734863","2","6000","ATL@SEA","ATL","SEA","","","",""
"16568-22027","QB","Nick","Foles","9.64363653009588","11","6000","KC@OAK","KC","OAK","","","",""
"16568-27776","RB","Tevin","Coleman","17.160000610351563","5","5900","ATL@SEA","ATL","SEA","","","",""
"16568-22288","WR","Cole","Beasley","10.680000305175781","5","5900","DAL@GB","DAL","GB","","","",""
"16568-31459","RB","Spencer","Ware","13.449999809265137","4","5700","KC@OAK","KC","OAK","","","",""
"16568-6641","TE","Jason","Witten","7.040000152587891","5","5600","DAL@GB","DAL","GB","","","",""
"16568-31836","WR","Terrance","Williams","8.899999618530273","4","5600","DAL@GB","DAL","GB","","","",""
"16568-39445","WR","Brice","Butler","3.540000152587891","5","5600","DAL@GB","DAL","GB","","","",""
"16568-32613","RB","DeAndre","Washington","5.420000076293945","5","5500","KC@OAK","OAK","KC","","","",""
"16568-22018","WR","Mohamed","Sanu","6.7","5","5500","ATL@SEA","ATL","SEA","","","",""
"16568-28677","QB","Matt","McGloin","5.340000152587891","2","5500","KC@OAK","OAK","KC","","","",""
"16568-45889","WR","Davante","Adams","10.225000381469727","4","5400","DAL@GB","GB","DAL","","","",""
"16568-54741","WR","Seth","Roberts","6.9","5","5400","KC@OAK","OAK","KC","","","",""
"16568-6664","TE","Jacob","Tamme","7.259999847412109","5","5300","ATL@SEA","ATL","SEA","","","",""
"16568-27050","WR","Tyler","Lockett","4.224999904632568","4","5300","ATL@SEA","SEA","ATL","","","",""
"16568-33578","RB","Jalen","Richard","7.9","5","5100","KC@OAK","OAK","KC","","","",""
"16568-29314","TE","Richard","Rodgers","3.799999952316284","4","5100","DAL@GB","GB","DAL","","","",""
"16568-11419","RB","C.J.","Spiller","8.699999809265137","1","5000","ATL@SEA","SEA","ATL","","","",""
"16568-30652","QB","Tanner","McEvoy","5.349999904632568","2","5000","ATL@SEA","SEA","ATL","","","",""
"16568-30788","QB","Tyler","Bray","0","0","5000","KC@OAK","KC","OAK","NA","Coach's decision","",""
"16568-28163","QB","Connor","Cook","0","0","5000","KC@OAK","OAK","KC","NA","Coach's decision","",""
"16568-32366","QB","Jameill","Showers","0","0","5000","DAL@GB","DAL","GB","","","",""
"16568-29915","QB","Brett","Hundley","0","0","5000","DAL@GB","GB","DAL","","","",""
"16568-6687","QB","Mark","Sanchez","12.28000005086263","3","5000","DAL@GB","DAL","GB","","","",""
"16568-26877","QB","Jake","Heaps","0","0","5000","ATL@SEA","SEA","ATL","","","",""
