"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16569-62497","RB","David","Johnson","21.2","5","9100","NYJ@ARI","ARI","NYJ","","","",""
"16569-6894","QB","Aaron","Rodgers","21.559999465942383","4","8800","DAL@GB","GB","DAL","","","",""
"16569-21939","QB","Andrew","Luck","20.332000732421875","5","8600","IND@HOU","IND","HOU","","","",""
"16569-14190","WR","Julio","Jones","16.339999389648437","5","8500","ATL@SEA","ATL","SEA","","","",""
"16569-22015","QB","Russell","Wilson","15.59000015258789","4","8400","ATL@SEA","SEA","ATL","","","",""
"16569-6893","WR","Jordy","Nelson","16.225000381469727","4","8300","DAL@GB","GB","DAL","","","",""
"16569-16606","WR","DeAndre","Hopkins","11.45999984741211","5","8100","IND@HOU","HOU","IND","","","",""
"16569-38791","RB","Ezekiel","Elliott","19.039999389648436","5","8100","DAL@GB","DAL","GB","","","",""
"16569-45859","QB","Derek","Carr","21.383999633789063","5","7900","KC@OAK","OAK","KC","","","",""
"16569-22031","WR","T.Y.","Hilton","17.23999938964844","5","7900","IND@HOU","IND","HOU","Q","Hip","",""
"16569-22037","RB","Lamar","Miller","10.45999984741211","5","7900","IND@HOU","HOU","IND","","","",""
"16569-6748","QB","Carson","Palmer","15.774999618530273","4","7700","NYJ@ARI","ARI","NYJ","","","",""
"16569-11435","WR","Dez","Bryant","8.833333333333334","3","7600","DAL@GB","DAL","GB","NA","Knee","",""
"16569-6616","QB","Matt","Ryan","24.91999969482422","5","7600","ATL@SEA","ATL","SEA","","","",""
"16569-14626","WR","Doug","Baldwin","14.149999618530273","4","7600","ATL@SEA","SEA","ATL","","","",""
"16569-6759","WR","Brandon","Marshall","12.05999984741211","5","7500","NYJ@ARI","NYJ","ARI","","","",""
"16569-6883","WR","Larry","Fitzgerald","16.41999969482422","5","7400","NYJ@ARI","ARI","NYJ","","","",""
"16569-32418","RB","Christine","Michael","14.449999809265137","4","7400","ATL@SEA","SEA","ATL","","","",""
"16569-31716","QB","Dak","Prescott","17.532000732421874","5","7200","DAL@GB","DAL","GB","","","",""
"16569-31001","WR","Amari","Cooper","13.719999694824219","5","7100","KC@OAK","OAK","KC","","","",""
"16569-24920","RB","Devonta","Freeman","15.539999389648438","5","7100","ATL@SEA","ATL","SEA","","","",""
"16569-6728","RB","Jamaal","Charles","0.699999988079071","1","7100","KC@OAK","KC","OAK","","","",""
"16569-14257","WR","Randall","Cobb","8.925000190734863","4","7000","DAL@GB","GB","DAL","","","",""
"16569-9392","WR","Michael","Crabtree","16.4","5","7000","KC@OAK","OAK","KC","","","",""
"16569-30968","RB","Eddie","Lacy","8.300000190734863","4","7000","DAL@GB","GB","DAL","","","",""
"16569-7659","QB","Ryan","Fitzpatrick","13.575999450683593","5","6900","NYJ@ARI","NYJ","ARI","","","",""
"16569-21994","QB","Brock","Osweiler","13.224000549316406","5","6900","IND@HOU","HOU","IND","","","",""
"16569-11512","TE","Jimmy","Graham","9.649999618530273","4","6900","ATL@SEA","SEA","ATL","","","",""
