player,salary,team,pos,opp,ceil,floor,fpts
"Dak Prescott",7200,DAL,QB,CIN,,,17.75
"Philip Rivers",8300,SDC,QB,OAK,,,18.06
"Andy Dalton",7600,CIN,QB,DAL,,,17.72
"Paxton Lynch",6800,DEN,QB,ATL,,,14.37
"Matthew Stafford",8000,DET,QB,PHI,,,18.74
"Matt Ryan",7600,ATL,QB,DEN,,,16.7
"Derek Carr",7900,OAK,QB,SDC,,,19.98
"Tyrod Taylor",7800,BUF,QB,LAR,,,16.92
"Jameis Winston",7400,TBB,QB,CAR,,,17.2
"Derek Anderson",5000,CAR,QB,TBB,,,14.85
"Aaron Rodgers",8800,GBP,QB,NYG,,,22.62
"Eli Manning",7700,NYG,QB,GBP,,,16.64
"Case Keenum",6500,LAR,QB,BUF,,,11.81
"Carson Wentz",7500,PHI,QB,DET,,,17.44
"Andrew Luck",8600,IND,QB,CHI,,,20.78
"Tom Brady",9000,NEP,QB,CLE,,,21.39
"Cody Kessler",6300,CLE,QB,NEP,,,11.1
"Ben Roethlisberger",8700,PIT,QB,NYJ,,,20.16
"Ryan Fitzpatrick",6900,NYJ,QB,PIT,,,16.27
"Blaine Gabbert",6400,SFO,QB,ARI,,,14.26
"Drew Stanton",6400,ARI,QB,SFO,,,14.04
"Marcus Mariota",7600,TEN,QB,MIA,,,16.72
"Ryan Tannehill",7100,MIA,QB,TEN,,,17.09
"Joe Flacco",7500,BAL,QB,WAS,,,17.87
"Brian Hoyer",7000,CHI,QB,IND,,,15.41
"Kirk Cousins",7400,WAS,QB,BAL,,,17.31
"Sam Bradford",7400,MIN,QB,HOU,,,15.32
"Brock Osweiler",6900,HOU,QB,MIN,,,13.9
