player,salary,team,pos,opp,ceil,floor,fpts
"Derrick Henry",5300,TEN,RB,CLE,,,4.94
"DeMarco Murray",8800,TEN,RB,CLE,,,19.33
"Duke Johnson",5100,CLE,RB,TEN,,,7.83
"Jamaal Charles",7100,KCC,RB,OAK,,,13.26
"Charcandrick West",4600,KCC,RB,OAK,,,4.84
"DeAndre Washington",5500,OAK,RB,KCC,,,8.27
"Spencer Ware",5700,KCC,RB,OAK,,,8.55
"Isaiah Crowell",6500,CLE,RB,TEN,,,12.9
"Mike Gillislee",4900,BUF,RB,SFO,,,3.77
"Dwayne Washington",5200,DET,RB,LAR,,,7.68
"Theo Riddick",6600,DET,RB,LAR,,,10.53
"Benny Cunningham",4500,LAR,RB,DET,,,2.59
"Zach Zenner",5300,DET,RB,LAR,,,2.86
"Carlos Hyde",7300,SFO,RB,BUF,,,14.36
"LeSean McCoy",8200,BUF,RB,SFO,,,18.68
"Shaun Draughn",4600,SFO,RB,BUF,,,3.29
"Jalen Richard",5100,OAK,RB,KCC,,,7.91
"Devonta Freeman",7100,ATL,RB,SEA,,,12.84
"Alfred Blue",4500,HOU,RB,IND,,,2.81
"Lamar Miller",7900,HOU,RB,IND,,,15.93
"Josh Ferguson",4500,IND,RB,HOU,,,6.2
"Matt Forte",6800,NYJ,RB,ARI,,,13.31
"Bilal Powell",5400,NYJ,RB,ARI,,,9.04
"Andre Ellington",4500,ARI,RB,NYJ,,,3.74
"David Johnson",9100,ARI,RB,NYJ,,,17.19
"Frank Gore",6300,IND,RB,HOU,,,12.3
"James Starks",4500,GBP,RB,DAL,,,3.04
"Alex Collins",4500,SEA,RB,ATL,,,2.22
"Christine Michael",7400,SEA,RB,ATL,,,15.44
"Tevin Coleman",5900,ATL,RB,SEA,,,9.68
"C.J. Spiller",5000,SEA,RB,ATL,,,3.16
"Ezekiel Elliott",8100,DAL,RB,GBP,,,14.91
"Eddie Lacy",7000,GBP,RB,DAL,,,10.67
"Alfred Morris",5000,DAL,RB,GBP,,,2.95
"Todd Gurley",7900,LAR,RB,DET,,,14.08
"Mike Tolbert",4700,CAR,RB,NOS,,,2.66
"Jay Ajayi",5800,MIA,RB,PIT,,,5.58
"Kenyan Drake",5000,MIA,RB,PIT,,,2.1
"DeAngelo Williams",5900,PIT,RB,MIA,,,3.18
"Damien Williams",4600,MIA,RB,PIT,,,3.13
"Arian Foster",6500,MIA,RB,PIT,,,11.85
"Darren Sproles",5300,PHI,RB,WAS,,,8.83
"Ryan Mathews",6500,PHI,RB,WAS,,,13.34
"Le'Veon Bell",9300,PIT,RB,MIA,,,20.87
"James White",5700,NEP,RB,CIN,,,7.95
"Melvin Gordon",7100,SDC,RB,DEN,,,12.71
"Devontae Booker",5000,DEN,RB,SDC,,,5.36
"C.J. Anderson",7500,DEN,RB,SDC,,,15.48
"Dexter McCluster",4500,SDC,RB,DEN,,,3.31
"Jeremy Hill",6900,CIN,RB,NEP,,,8.1
"LeGarrette Blount",7000,NEP,RB,CIN,,,11.58
"Giovani Bernard",5700,CIN,RB,NEP,,,8.59
"Matt Jones",6500,WAS,RB,PHI,,,10.32
"Chris Thompson",5200,WAS,RB,PHI,,,6.73
"Jonathan Stewart",6300,CAR,RB,NOS,,,11.76
"Fozzy Whittaker",5600,CAR,RB,NOS,,,5.8
"Ka'Deem Carey",4500,CHI,RB,JAC,,,3.66
"Cameron Artis-Payne",5900,CAR,RB,NOS,,,2.34
"Mark Ingram",6700,NOS,RB,CAR,,,13.55
"Travaris Cadet",5000,NOS,RB,CAR,,,3.84
"Tim Hightower",4500,NOS,RB,CAR,,,1.98
"Jordan Howard",7700,CHI,RB,JAC,,,15.73
"Chris Ivory",5400,JAC,RB,CHI,,,7.54
"Orleans Darkwa",5900,NYG,RB,BAL,,,3.35
"Javorius Allen",5300,BAL,RB,NYG,,,4.03
"Terrance West",6500,BAL,RB,NYG,,,11.38
"Bobby Rainey",5000,NYG,RB,BAL,,,7.26
"Kenneth Dixon",5600,BAL,RB,NYG,,,4.16
"T.J. Yeldon",6700,JAC,RB,CHI,,,10.48
"Rashad Jennings",5700,NYG,RB,BAL,,,8.56
