player,salary,team,pos,opp,ceil,floor,fpts
"Jeremy Maclin",6900,KCC,WR,OAK,,,12.64
"Chris Conley",4600,KCC,WR,OAK,,,6.68
"Rishard Matthews",5400,TEN,WR,CLE,,,7.21
"Andre Johnson",5300,TEN,WR,CLE,,,6.41
"Tajae Sharpe",5100,TEN,WR,CLE,,,7.55
"Kendall Wright",4500,TEN,WR,CLE,,,5.58
"Albert Wilson",4500,KCC,WR,OAK,,,4.16
"Tyreek Hill",4500,KCC,WR,OAK,,,3.8
"Andre Holmes",4500,OAK,WR,KCC,,,2.56
"Julio Jones",8500,ATL,WR,SEA,,,15.08
"Seth Roberts",5400,OAK,WR,KCC,,,7.22
"Michael Crabtree",7000,OAK,WR,KCC,,,13.86
"Amari Cooper",7100,OAK,WR,KCC,,,14.84
"Rashard Higgins",4500,CLE,WR,TEN,,,1.21
"Ricardo Louis",4500,CLE,WR,TEN,,,4.16
"Quinton Patton",4700,SFO,WR,BUF,,,4.48
"Jeremy Kerley",5800,SFO,WR,BUF,,,10.31
"Torrey Smith",5300,SFO,WR,BUF,,,6.28
"Andre Roberts",4500,DET,WR,LAR,,,1.03
"Anquan Boldin",6000,DET,WR,LAR,,,7.56
"Rod Streater",4500,SFO,WR,BUF,,,1.59
"Robert Woods",5500,BUF,WR,SFO,,,10.29
"Terrelle Pryor",7000,CLE,WR,TEN,,,12.74
"Andrew Hawkins",4600,CLE,WR,TEN,,,6.28
"Walter Powell",0,BUF,WR,SFO,,,2.87
"Marquise Goodwin",5500,BUF,WR,SFO,,,7.18
"Justin Hunter",4900,BUF,WR,SFO,,,2.52
"Mohamed Sanu",5500,ATL,WR,SEA,,,7.54
"Justin Hardy",4600,ATL,WR,SEA,,,3.43
"Jaelen Strong",4600,HOU,WR,IND,,,7.63
"Brandon Marshall",7500,NYJ,WR,ARI,,,13.45
"Braxton Miller",4500,HOU,WR,IND,,,4.2
"DeAndre Hopkins",8100,HOU,WR,IND,,,15.49
"Quan Bray",4500,IND,WR,HOU,,,3.11
"Chester Rogers",4500,IND,WR,HOU,,,5.92
"Quincy Enunwa",5900,NYJ,WR,ARI,,,10.2
"Charone Peake",4500,NYJ,WR,ARI,,,3.9
"John Brown",6600,ARI,WR,NYJ,,,10.22
"Jaron Brown",4900,ARI,WR,NYJ,,,4.13
"Michael Floyd",6500,ARI,WR,NYJ,,,9.94
"Larry Fitzgerald",7400,ARI,WR,NYJ,,,16.92
"Robby Anderson",4500,NYJ,WR,ARI,,,3.17
"Phillip Dorsett",6600,IND,WR,HOU,,,6.42
"T.Y. Hilton",7900,IND,WR,HOU,,,17.38
"Tyler Lockett",5300,SEA,WR,ATL,,,6.82
"Paul Richardson",4500,SEA,WR,ATL,,,3.42
"Jermaine Kearse",4600,SEA,WR,ATL,,,6.57
"Doug Baldwin",7600,SEA,WR,ATL,,,15.62
"Aldrick Robinson",4500,ATL,WR,SEA,,,3.02
"Terrance Williams",5600,DAL,WR,GBP,,,8.12
"Cole Beasley",5900,DAL,WR,GBP,,,8.51
"Davante Adams",5400,GBP,WR,DAL,,,8.52
"Ty Montgomery",4500,GBP,WR,DAL,,,1.35
"Randall Cobb",7000,GBP,WR,DAL,,,11.28
"Jordy Nelson",8300,GBP,WR,DAL,,,15.8
"Brice Butler",5600,DAL,WR,GBP,,,7.57
"Golden Tate",6400,DET,WR,LAR,,,7.69
"Marvin Jones",7700,DET,WR,LAR,,,15.6
"Jarvis Landry",6900,MIA,WR,PIT,,,13.79
"DeVante Parker",6300,MIA,WR,PIT,,,10.13
"Darrius Heyward-Bey",4500,PIT,WR,MIA,,,4.01
"Sammie Coates",6400,PIT,WR,MIA,,,8.66
"Malcolm Mitchell",4500,NEP,WR,CIN,,,3.06
"Antonio Brown",9700,PIT,WR,MIA,,,20.23
"Kenny Stills",5500,MIA,WR,PIT,,,7.23
"Eli Rogers",4900,PIT,WR,MIA,,,10.12
"Josh Huff",4500,PHI,WR,WAS,,,3.83
"DeSean Jackson",6400,WAS,WR,PHI,,,12.15
"Dorial Green-Beckham",4800,PHI,WR,WAS,,,4.66
