player,salary,team,pos,opp,ceil,floor,fpts
"Roberto Aguayo",4500,TBB,K,SFO,,,6.13
"Phil Dawson",4700,SFO,K,TBB,,,6.62
"Mike Nugent",4600,CIN,K,CLE,,,8.05
"Cody Parkey",4500,CLE,K,CIN,,,7.27
"Dan Carpenter",4600,BUF,K,MIA,,,7.16
"Andrew Franks",4500,MIA,K,BUF,,,5.24
"Josh Lambo",4600,SDC,K,ATL,,,8.31
"Matt Bryant",4700,ATL,K,SDC,,,10.43
"Nick Novak",4600,HOU,K,DEN,,,7.82
"Brandon McManus",4700,DEN,K,HOU,,,9.87
"Chandler Catanzaro",4700,ARI,K,SEA,,,7.68
"Steven Hauschka",4800,SEA,K,ARI,,,8.39
"Stephen Gostkowski",5100,NEP,K,PIT,,,10.17
"Chris Boswell",4700,PIT,K,NEP,,,7.01
"Ryan Succop",4500,TEN,K,IND,,,5.64
"Adam Vinatieri",4900,IND,K,TEN,,,10.37
"Caleb Sturgis",4800,PHI,K,MIN,,,8.2
"Wil Lutz",4500,NOS,K,KCC,,,7.44
"Blair Walsh",4600,MIN,K,PHI,,,7.77
"Greg Zuerlein",4600,LAR,K,NYG,,,8.04
"Connor Barth",4500,CHI,K,GBP,,,6.83
"Mason Crosby",4700,GBP,K,CHI,,,8.61
"Cairo Santos",4800,KCC,K,NOS,,,9.7
"Sebastian Janikowski",4600,OAK,K,JAC,,,7.22
"Dustin Hopkins",5000,WAS,K,DET,,,8.56
"Matt Prater",4600,DET,K,WAS,,,7.91
"Nick Folk",4600,NYJ,K,BAL,,,7.71
"Justin Tucker",5000,BAL,K,NYJ,,,9.57
"Jason Myers",4500,JAC,K,OAK,,,7.54
