"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16572-62497","RB","David","Johnson","21.2","5","9100","NYJ@ARI","ARI","NYJ","","","",""
"16572-6894","QB","Aaron","Rodgers","19.939999389648438","5","8800","CHI@GB","GB","CHI","","","",""
"16572-6893","WR","Jordy","Nelson","14.439999389648438","5","8300","CHI@GB","GB","CHI","","","",""
"16572-42142","RB","Jordan","Howard","12.960000610351562","5","7700","CHI@GB","CHI","GB","","","",""
"16572-6748","QB","Carson","Palmer","15.774999618530273","4","7700","NYJ@ARI","ARI","NYJ","","","",""
"16572-21980","WR","Alshon","Jeffery","10.533333460489908","6","7600","CHI@GB","CHI","GB","","","",""
"16572-6759","WR","Brandon","Marshall","12.05999984741211","5","7500","NYJ@ARI","NYJ","ARI","","","",""
"16572-6883","WR","Larry","Fitzgerald","16.41999969482422","5","7400","NYJ@ARI","ARI","NYJ","","","",""
"16572-30968","RB","Eddie","Lacy","8.15999984741211","5","7000","CHI@GB","GB","CHI","Q","Ankle","",""
"16572-7872","QB","Brian","Hoyer","15.527999877929688","5","7000","CHI@GB","CHI","GB","","","",""
"16572-14257","WR","Randall","Cobb","10.1","5","7000","CHI@GB","GB","CHI","Q","Back","",""
"16572-6898","QB","Jay","Cutler","8.0600004196167","2","7000","CHI@GB","CHI","GB","Q","Thumb","",""
"16572-7659","QB","Ryan","Fitzpatrick","13.575999450683593","5","6900","NYJ@ARI","NYJ","ARI","","","",""
"16572-6899","RB","Matt","Forte","13.519999694824218","5","6800","NYJ@ARI","NYJ","ARI","","","",""
"16572-54606","WR","John","Brown","6.840000152587891","5","6600","NYJ@ARI","ARI","NYJ","","","",""
"16572-11501","WR","Eric","Decker","11.966667175292969","3","6600","NYJ@ARI","NYJ","ARI","IR","Shoulder","",""
"16572-21952","WR","Michael","Floyd","7","5","6500","NYJ@ARI","ARI","NYJ","","","",""
"16572-7744","QB","Drew","Stanton","4.226666768391927","3","6400","NYJ@ARI","ARI","NYJ","","","",""
"16572-6768","WR","Eddie","Royal","11.050000508626303","6","6300","CHI@GB","CHI","GB","Q","Toe","",""
"16572-27266","WR","Quincy","Enunwa","9.780000305175781","5","5900","NYJ@ARI","NYJ","ARI","","","",""
"16572-8050","TE","Zach","Miller","10","6","5800","CHI@GB","CHI","GB","Q","Ribs","",""
"16572-11712","RB","Joique","Bell","0.6000000238418579","1","5600","CHI@GB","CHI","GB","","","",""
"16572-38514","WR","Kevin","White","7.275000095367432","4","5500","CHI@GB","CHI","GB","IR","Ankle","",""
"16572-45889","WR","Davante","Adams","9.05999984741211","5","5400","CHI@GB","GB","CHI","Q","Concussion","",""
"16572-14320","RB","Bilal","Powell","6.759999847412109","5","5400","NYJ@ARI","NYJ","ARI","","","",""
"16572-62538","WR","Cameron","Meredith","11.274999618530273","4","5400","CHI@GB","CHI","GB","","","",""
"16572-12546","D","Arizona","Cardinals","11.4","5","5400","NYJ@ARI","ARI","NYJ","","","",""
"16572-29314","TE","Richard","Rodgers","3.540000152587891","5","5100","CHI@GB","GB","CHI","","","",""
"16572-31798","QB","Bryce","Petty","0","0","5000","NYJ@ARI","NYJ","ARI","NA","Coach's decision","",""
"16572-26483","QB","Geno","Smith","21","1","5000","NYJ@ARI","NYJ","ARI","","","",""
"16572-34459","QB","B.J.","Daniels","0.9200000166893005","4","5000","CHI@GB","CHI","GB","","","",""
"16572-41732","QB","Christian","Hackenberg","0","0","5000","NYJ@ARI","NYJ","ARI","NA","Coach's decision","",""
"16572-29915","QB","Brett","Hundley","0","0","5000","CHI@GB","GB","CHI","","","",""
"16572-29605","QB","Matt","Barkley","0","0","5000","CHI@GB","CHI","GB","","","",""
"16572-24589","WR","Jaron","Brown","4.94000015258789","5","4900","NYJ@ARI","ARI","NYJ","","","",""
"16572-28202","RB","Jeremy","Langford","8.933333079020182","3","4800","CHI@GB","CHI","GB","D","Ankle","",""
"16572-16923","TE","Austin","Seferian-Jenkins","4.866666793823242","3","4800","NYJ@ARI","NYJ","ARI","NA","Ankle","",""
"16572-7761","TE","Jared","Cook","2.7666667302449546","3","4700","CHI@GB","GB","CHI","O","Ankle","",""
"16572-38790","WR","Jalin","Marshall","1.6333333651224773","3","4700","NYJ@ARI","NYJ","ARI","","","",""
