"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16651-6779","RB","LeSean","McCoy","20.066666920979817","6","9000","BUF@MIA","BUF","MIA","","","",""
"16651-14254","RB","DeMarco","Murray","19.3000005086263","6","8700","IND@TEN","TEN","IND","","","",""
"16651-14187","WR","A.J.","Green","15.59999974568685","6","8500","CLE@CIN","CIN","CLE","","","",""
"16651-6504","QB","Drew","Brees","24.072000122070314","5","8500","NO@KC","NO","KC","","","",""
"16651-28643","WR","Allen","Robinson","11.740000152587891","5","8400","OAK@JAC","JAC","OAK","","","",""
"16651-45859","QB","Derek","Carr","19.62000020345052","6","8300","OAK@JAC","OAK","JAC","","","",""
"16651-21939","QB","Andrew","Luck","21.00666681925456","6","8200","IND@TEN","IND","TEN","","","",""
"16651-14225","QB","Andy","Dalton","17.93000030517578","6","8100","CLE@CIN","CIN","CLE","","","",""
"16651-6654","QB","Matthew","Stafford","21.21999994913737","6","7900","WAS@DET","DET","WAS","","","",""
"16651-31001","WR","Amari","Cooper","14.416666666666666","6","7900","OAK@JAC","OAK","JAC","","","",""
"16651-29358","QB","Marcus","Mariota","18.413333892822266","6","7900","IND@TEN","TEN","IND","","","",""
"16651-22031","WR","T.Y.","Hilton","15.433333079020182","6","7800","IND@TEN","IND","TEN","","","",""
"16651-29501","WR","Brandin","Cooks","15.039999389648438","5","7700","NO@KC","NO","KC","","","",""
"16651-22103","WR","Marvin","Jones Jr.","15.283332824707031","6","7700","WAS@DET","DET","WAS","","","",""
"16651-14377","QB","Tyrod","Taylor","16.773333231608074","6","7700","BUF@MIA","BUF","MIA","","","",""
"16651-6714","QB","Joe","Flacco","15.210000356038412","6","7600","BAL@NYJ","BAL","NYJ","","","",""
"16651-34308","QB","Blake","Bortles","17.767999267578126","5","7400","OAK@JAC","JAC","OAK","","","",""
"16651-6759","WR","Brandon","Marshall","11.466667175292969","6","7400","BAL@NYJ","NYJ","BAL","","","",""
"16651-11414","QB","Sam","Bradford","15.875","4","7300","MIN@PHI","MIN","PHI","","","",""
"16651-15212","WR","Terrelle","Pryor Sr.","14.256666819254557","6","7300","CLE@CIN","CLE","CIN","","","",""
"16651-30298","TE","Jordan","Reed","12.019999694824218","5","7300","WAS@DET","WAS","DET","NA","Concussion","",""
