"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16649-14190","WR","Julio","Jones","17.516666412353516","6","9200","SD@ATL","ATL","SD","","","",""
"16649-6498","QB","Tom","Brady","28.440000534057617","2","9100","NE@PIT","NE","PIT","","","",""
"16649-11612","WR","Antonio","Brown","16.616666158040363","6","9000","NE@PIT","PIT","NE","","","",""
"16649-6779","RB","LeSean","McCoy","20.066666920979817","6","9000","BUF@MIA","BUF","MIA","Q","Hamstring","",""
"16649-6616","QB","Matt","Ryan","24.53333282470703","6","8700","SD@ATL","ATL","SD","","","",""
"16649-14254","RB","DeMarco","Murray","19.3000005086263","6","8700","IND@TEN","TEN","IND","","","",""
"16649-28181","RB","Le'Veon","Bell","18.666666666666668","3","8600","NE@PIT","PIT","NE","","","",""
"16649-31360","WR","Odell","Beckham Jr.","15.266666412353516","6","8600","NYG@LA","NYG","LA","","","",""
"16649-14187","WR","A.J.","Green","15.59999974568685","6","8500","CLE@CIN","CIN","CLE","","","",""
"16649-6504","QB","Drew","Brees","24.072000122070314","5","8500","NO@KC","NO","KC","","","",""
"16649-11460","TE","Rob","Gronkowski","10.175000190734863","4","8500","NE@PIT","NE","PIT","","","",""
"16649-62497","RB","David","Johnson","23.21666717529297","6","8500","SEA@ARI","ARI","SEA","","","",""
"16649-6589","QB","Ben","Roethlisberger","21.1999994913737","6","8400","NE@PIT","PIT","NE","O","Knee","",""
"16649-28643","WR","Allen","Robinson","11.740000152587891","5","8400","OAK@JAC","JAC","OAK","","","",""
"16649-45859","QB","Derek","Carr","19.62000020345052","6","8300","OAK@JAC","OAK","JAC","","","",""
"16649-21939","QB","Andrew","Luck","21.00666681925456","6","8200","IND@TEN","IND","TEN","Q","Ankle","",""
"16649-14225","QB","Andy","Dalton","17.93000030517578","6","8100","CLE@CIN","CIN","CLE","","","",""
"16649-30447","RB","Todd","Gurley","11.90000025431315","6","8100","NYG@LA","LA","NYG","","","",""
"16649-22015","QB","Russell","Wilson","14.772000122070313","5","8000","SEA@ARI","SEA","ARI","","","",""
"16649-32384","WR","Mike","Evans","16.980000305175782","5","8000","TB@SF","TB","SF","","","",""
"16649-28900","RB","Melvin","Gordon","16.083333333333332","6","8000","SD@ATL","SD","ATL","","","",""
"16649-6654","QB","Matthew","Stafford","21.21999994913737","6","7900","WAS@DET","DET","WAS","","","",""
"16649-16606","WR","DeAndre","Hopkins","11.483333587646484","6","7900","HOU@DEN","HOU","DEN","","","",""
"16649-29358","QB","Marcus","Mariota","18.413333892822266","6","7900","IND@TEN","TEN","IND","","","",""
"16649-31001","WR","Amari","Cooper","14.416666666666666","6","7900","OAK@JAC","OAK","JAC","","","",""
"16649-7968","QB","Philip","Rivers","18.163333892822266","6","7800","SD@ATL","SD","ATL","","","",""
"16649-22031","WR","T.Y.","Hilton","15.433333079020182","6","7800","IND@TEN","IND","TEN","Q","Hip","",""
"16649-29501","WR","Brandin","Cooks","15.039999389648438","5","7700","NO@KC","NO","KC","","","",""
"16649-28473","RB","Carlos","Hyde","15.333333333333334","6","7700","TB@SF","SF","TB","D","Shoulder","",""
"16649-6826","QB","Eli","Manning","15.536666870117188","6","7700","NYG@LA","NYG","LA","","","",""
"16649-22103","WR","Marvin","Jones Jr.","15.283332824707031","6","7700","WAS@DET","DET","WAS","","","",""
"16649-14377","QB","Tyrod","Taylor","16.773333231608074","6","7700","BUF@MIA","BUF","MIA","","","",""
"16649-22037","RB","Lamar","Miller","13.933333079020182","6","7700","HOU@DEN","HOU","DEN","","","",""
"16649-32418","RB","Christine","Michael","15.919999694824218","5","7600","SEA@ARI","SEA","ARI","","","",""
"16649-6714","QB","Joe","Flacco","15.210000356038412","6","7600","BAL@NYJ","BAL","NYJ","Q","Shoulder","",""
"16649-6748","QB","Carson","Palmer","15.10399932861328","5","7600","SEA@ARI","ARI","SEA","Q","Hamstring","",""
"16649-24920","RB","Devonta","Freeman","14.033332824707031","6","7500","SD@ATL","ATL","SD","","","",""
"16649-24849","QB","Jameis","Winston","18.01600036621094","5","7500","TB@SF","TB","SF","","","",""
"16649-34308","QB","Blake","Bortles","17.767999267578126","5","7400","OAK@JAC","JAC","OAK","","","",""
"16649-6759","WR","Brandon","Marshall","11.466667175292969","6","7400","BAL@NYJ","NYJ","BAL","","","",""
"16649-21970","RB","Doug","Martin","7.199999809265137","2","7300","TB@SF","TB","SF","D","Hamstring","",""
"16649-15212","WR","Terrelle","Pryor Sr.","14.256666819254557","6","7300","CLE@CIN","CLE","CIN","Q","Hamstring","",""
"16649-30298","TE","Jordan","Reed","12.019999694824218","5","7300","WAS@DET","WAS","DET","Q","Concussion","",""
"16649-11414","QB","Sam","Bradford","15.875","4","7300","MIN@PHI","MIN","PHI","","","",""
"16649-11432","WR","Demaryius","Thomas","12.183333079020182","6","7300","HOU@DEN","DEN","HOU","","","",""
"16649-22038","QB","Kirk","Cousins","16.8000005086263","6","7300","WAS@DET","WAS","DET","","","",""
"16649-21948","QB","Ryan","Tannehill","14.276667277018229","6","7200","BUF@MIA","MIA","BUF","","","",""
"16649-29249","RB","C.J.","Anderson","12.966667175292969","6","7200","HOU@DEN","DEN","HOU","","","",""
"16649-8005","QB","Alex","Smith","14.675999450683594","5","7200","NO@KC","KC","NO","","","",""
"16649-9392","WR","Michael","Crabtree","14","6","7200","OAK@JAC","OAK","JAC","","","",""
"16649-11779","RB","LeGarrette","Blount","13.800000508626303","6","7100","NE@PIT","NE","PIT","","","",""
"16649-70324","QB","Carson","Wentz","15.627999877929687","5","7100","MIN@PHI","PHI","MIN","","","",""
"16649-14626","WR","Doug","Baldwin","12.34000015258789","5","7100","SEA@ARI","SEA","ARI","","","",""
"16649-6883","WR","Larry","Fitzgerald","15","6","7100","SEA@ARI","ARI","SEA","","","",""
"16649-28434","QB","Trevor","Siemian","14.49199981689453","5","7000","HOU@DEN","DEN","HOU","","","",""
"16649-31459","RB","Spencer","Ware","15.419999694824218","5","7000","NO@KC","KC","NO","","","",""
"16649-31394","WR","Jarvis","Landry","12.616666158040365","6","7000","BUF@MIA","MIA","BUF","","","",""
"16649-25079","WR","Stefon","Diggs","13.875","4","7000","MIN@PHI","MIN","PHI","Q","Groin","",""
"16649-7659","QB","Ryan","Fitzpatrick","12.34000015258789","6","6900","BAL@NYJ","NYJ","BAL","","","",""
"16649-6607","WR","Mike","Wallace","11.90000025431315","6","6900","BAL@NYJ","BAL","NYJ","","","",""
"16649-54607","RB","Terrance","West","11.716667175292969","6","6900","BAL@NYJ","BAL","NYJ","","","",""
"16649-7859","WR","Julian","Edelman","7.333333333333333","6","6900","NE@PIT","NE","PIT","Q","Foot","",""
"16649-7283","WR","Jeremy","Maclin","9.34000015258789","5","6800","NO@KC","KC","NO","","","",""
"16649-31397","RB","Jeremy","Hill","8.516666412353516","6","6800","CLE@CIN","CIN","CLE","","","",""
"16649-44449","WR","Willie","Snead","12.774999618530273","4","6800","NO@KC","NO","KC","","","",""
"16649-42028","WR","Will","Fuller","12.140000152587891","5","6800","HOU@DEN","HOU","DEN","Q","Hamstring","",""
"16649-6728","RB","Jamaal","Charles","6.199999809265137","2","6800","NO@KC","KC","NO","","","",""
"16649-21994","QB","Brock","Osweiler","13.913333892822266","6","6700","HOU@DEN","HOU","DEN","","","",""
"16649-22994","QB","Case","Keenum","14.396666208902994","6","6700","NYG@LA","LA","NYG","","","",""
"16649-30244","RB","Matt","Jones","11.766666412353516","6","6700","WAS@DET","WAS","DET","","","",""
"16649-11505","WR","Emmanuel","Sanders","12.883333841959635","6","6700","HOU@DEN","DEN","HOU","","","",""
"16649-11512","TE","Jimmy","Graham","10.1","5","6700","SEA@ARI","SEA","ARI","Q","Knee","",""
"16649-6899","RB","Matt","Forte","11.716667175292969","6","6700","BAL@NYJ","NYJ","BAL","","","",""
"16649-29587","QB","Cody","Kessler","12.5","4","6600","CLE@CIN","CLE","CIN","","","",""
"16649-14211","RB","Mark","Ingram","12.719999694824219","5","6600","NO@KC","NO","KC","","","",""
"16649-11485","WR","Golden","Tate","8.450000127156576","6","6600","WAS@DET","DET","WAS","","","",""
"16649-6803","QB","Josh","McCown","16.399999618530273","1","6600","CLE@CIN","CLE","CIN","Q","Collarbone","",""
"16649-14231","QB","Colin","Kaepernick","18.079999923706055","1","6500","TB@SF","SF","TB","","","",""
