player,salary,team,pos,opp,ceil,floor,fpts
"Garrett Celek",4700,SFO,TE,TBB,7.9866,1.1934,4.59
"Antonio Gates",5500,SDC,TE,ATL,11.988,2.812,7.4
"Hunter Henry",5800,SDC,TE,ATL,10.7502,6.7298,8.74
"Jacob Tamme",5200,ATL,TE,SDC,9.104,2.276,5.69
"Vance McDonald",4500,SFO,TE,TBB,5.6784,0.5616,3.12
"Cameron Brate",5200,TBB,TE,SFO,13.616,4.784,9.2
"MarQueis Gray",4500,MIA,TE,BUF,4.3168,1.7632,3.04
"Gary Barnidge",5200,CLE,TE,CIN,13.2342,6.0858,9.66
"Tyler Eifert",6000,CIN,TE,CLE,15.0792,1.4008,8.24
"Tyler Kroft",4500,CIN,TE,CLE,4.48,0,2.24
"Austin Hooper",4500,ATL,TE,SDC,8.12,0,4.06
"Rob Gronkowski",8500,NEP,TE,PIT,24.2028,5.6772,14.94
"C.J. Fiedorowicz",5100,HOU,TE,DEN,10.1536,2.0064,6.08
"Ryan Griffin",4500,HOU,TE,DEN,4.0192,1.1008,2.56
"Jeff Heuerman",4500,DEN,TE,HOU,3.64,0,1.82
"Virgil Green",4500,DEN,TE,HOU,8.7804,2.0596,5.42
"Jermaine Gresham",4500,ARI,TE,SEA,1.96,0,0.98
"Darren Fells",4500,ARI,TE,SEA,4.36,0,2.18
"Martellus Bennett",5800,NEP,TE,PIT,13.168,3.292,8.23
"Jesse James",5400,PIT,TE,NEP,11.4244,2.0956,6.76
"Jimmy Graham",6700,SEA,TE,ARI,18.4356,4.3244,11.38
"Charles Clay",5100,BUF,TE,MIA,9.261,3.339,6.3
"Anthony Fasano",4500,TEN,TE,IND,1.88,0,0.94
"Zach Ertz",5100,PHI,TE,MIN,9.2752,5.6848,7.48
"Trey Burton",4500,PHI,TE,MIN,5.2725,0.4275,2.85
"Coby Fleener",5900,NOS,TE,KCC,13.5432,3.1768,8.36
"Travis Kelce",6300,KCC,TE,NOS,21.2415,7.6585,14.45
"Kyle Rudolph",5400,MIN,TE,PHI,14.2204,5.2596,9.74
"Lance Kendricks",4500,LAR,TE,NYG,9.8091,1.5309,5.67
"Zach Miller",5500,CHI,TE,GBP,15.8184,2.9016,9.36
"Richard Rodgers",5000,GBP,TE,CHI,8.0004,1.0396,4.52
"Will Tye",4800,NYG,TE,LAR,7.1231,1.6169,4.37
"Larry Donnell",4800,NYG,TE,LAR,10.2168,1.6632,5.94
"Clive Walford",4800,OAK,TE,JAC,9.1902,2.3698,5.78
"Julius Thomas",5500,JAC,TE,OAK,12.1476,3.1324,7.64
"Vernon Davis",4500,WAS,TE,DET,5.89,0.31,3.1
"Cole Wick",4500,DET,TE,WAS,4.58,0,2.29
"Jack Doyle",4700,IND,TE,TEN,13.1614,3.4986,8.33
"Delanie Walker",6500,TEN,TE,IND,18.0081,5.5319,11.77
"Jordan Reed",7300,WAS,TE,DET,19.6528,8.0272,13.84
"Brandon Bostick",4500,NYJ,TE,BAL,1.58,0,0.79
"Marcedes Lewis",4500,JAC,TE,OAK,6.097,0.603,3.35
"Dennis Pitta",5300,BAL,TE,NYJ,12.3548,6.0852,9.22
"Crockett Gillmore",4800,BAL,TE,NYJ,4.4488,2.1912,3.32
