"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16650-6894","QB","Aaron","Rodgers","19.939999389648438","5","8600","CHI@GB","GB","CHI","","","",""
"16650-31360","WR","Odell","Beckham Jr.","15.266666412353516","6","8600","NYG@LA","NYG","LA","Q","Hip","",""
"16650-6893","WR","Jordy","Nelson","14.439999389648438","5","8200","CHI@GB","GB","CHI","","","",""
"16650-30447","RB","Todd","Gurley","11.90000025431315","6","8100","NYG@LA","LA","NYG","","","",""
"16650-6826","QB","Eli","Manning","15.536666870117188","6","7700","NYG@LA","NYG","LA","","","",""
"16650-21980","WR","Alshon","Jeffery","10.533333460489908","6","7300","CHI@GB","CHI","GB","","","",""
"16650-42142","RB","Jordan","Howard","12.960000610351562","5","7000","CHI@GB","CHI","GB","","","",""
"16650-30968","RB","Eddie","Lacy","8.15999984741211","5","6900","CHI@GB","GB","CHI","IR","Ankle","",""
"16650-7872","QB","Brian","Hoyer","15.527999877929688","5","6700","CHI@GB","CHI","GB","","","",""
"16650-14257","WR","Randall","Cobb","10.1","5","6700","CHI@GB","GB","CHI","","","",""
"16650-22994","QB","Case","Keenum","14.396666208902994","6","6700","NYG@LA","LA","NYG","","","",""
"16650-6898","QB","Jay","Cutler","8.0600004196167","2","6600","CHI@GB","CHI","GB","NA","Thumb","",""
"16650-27477","WR","Sterling","Shepard","9.200000127156576","6","6400","NYG@LA","NYG","LA","","","",""
"16650-6535","WR","Kenny","Britt","12.366666158040365","6","6200","NYG@LA","LA","NYG","","","",""
"16650-38435","QB","Jared","Goff","0","0","6000","NYG@LA","LA","NYG","","","",""
"16650-62538","WR","Cameron","Meredith","11.274999618530273","4","5900","CHI@GB","CHI","GB","","","",""
"16650-8052","RB","Rashad","Jennings","6.266666412353516","3","5800","NYG@LA","NYG","LA","","","",""
"16650-6768","WR","Eddie","Royal","11.050000508626303","6","5800","CHI@GB","CHI","GB","NA","Toe","",""
"16650-26458","WR","Tavon","Austin","8.066666920979818","6","5800","NYG@LA","LA","NYG","","","",""
"16650-11999","WR","Victor","Cruz","6.849999745686849","6","5600","NYG@LA","NYG","LA","","","",""
"16650-29734","WR","Ty","Montgomery","2.6799999237060548","5","5600","CHI@GB","GB","CHI","","","",""
"16650-8050","TE","Zach","Miller","10","6","5500","CHI@GB","CHI","GB","","","",""
"16650-45889","WR","Davante","Adams","9.05999984741211","5","5100","CHI@GB","GB","CHI","","","",""
"16650-29314","TE","Richard","Rodgers","3.540000152587891","5","5000","CHI@GB","GB","CHI","","","",""
"16650-26355","QB","Logan","Thomas","0","0","5000","NYG@LA","NYG","LA","","","",""
"16650-29915","QB","Brett","Hundley","0","0","5000","CHI@GB","GB","CHI","","","",""
"16650-29605","QB","Matt","Barkley","0","0","5000","CHI@GB","CHI","GB","","","",""
"16650-8023","QB","Josh","Johnson","0","0","5000","NYG@LA","NYG","LA","","","",""
"16650-26141","QB","Ryan","Nassib","6.71999979019165","1","5000","NYG@LA","NYG","LA","","","",""
"16650-29445","QB","Sean","Mannion","1.2400000095367432","1","5000","NYG@LA","LA","NYG","","","",""
"16650-34459","QB","B.J.","Daniels","0.9200000166893005","4","5000","CHI@GB","CHI","GB","","","",""
"16650-28202","RB","Jeremy","Langford","8.933333079020182","3","4900","CHI@GB","CHI","GB","NA","Ankle","",""
"16650-22958","RB","Bobby","Rainey","6.800000190734863","4","4900","NYG@LA","NYG","LA","","","",""
"16650-21123","TE","Larry","Donnell","5.349999904632568","4","4800","NYG@LA","NYG","LA","","","",""
"16650-33691","RB","Orleans","Darkwa","6.324999809265137","4","4800","NYG@LA","NYG","LA","","","",""
"16650-24847","TE","Will","Tye","3.5833333333333335","6","4800","NYG@LA","NYG","LA","","","",""
"16650-6897","K","Mason","Crosby","9","5","4700","CHI@GB","GB","CHI","","","",""
"16650-12538","D","Los Angeles","Rams","7.5","6","4700","NYG@LA","LA","NYG","","","",""
"16650-11712","RB","Joique","Bell","0.6000000238418579","1","4600","CHI@GB","CHI","GB","","","",""
"16650-22109","K","Greg","Zuerlein","8.6","5","4600","NYG@LA","LA","NYG","","","",""
"16650-12533","D","Green Bay","Packers","5.8","5","4600","CHI@GB","GB","CHI","","","",""
"16650-6522","K","Josh","Brown","9.2","5","4600","NYG@LA","NYG","LA","O","Coach's decision","",""
"16650-25052","RB","Zach","Laskey","0","0","4500","NYG@LA","LA","NYG","IR","Undisclosed","",""
"16650-27672","TE","Matt","LaCosse","3.700000047683716","1","4500","NYG@LA","NYG","LA","IR","Knee","",""
"16650-10695","RB","Darrel","Young","0.6888888676961263","9","4500","CHI@GB","CHI","GB","","","",""
"16650-29866","RB","Paul","Perkins","5.100000063578288","3","4500","NYG@LA","NYG","LA","","","",""
"16650-30598","TE","Busta","Anderson","0","0","4500","CHI@GB","CHI","GB","","","",""
"16650-47861","TE","Mitchell","Henry","0","2","4500","CHI@GB","GB","CHI","","","",""
"16650-21972","WR","Brian","Quick","8.75","6","4500","NYG@LA","LA","NYG","","","",""
"16650-70444","WR","Paul","McRoberts","0","0","4500","NYG@LA","LA","NYG","","","",""
"16650-30108","WR","Marquess","Wilson","6.0363637750799","11","4500","CHI@GB","CHI","GB","NA","Foot","",""
"16650-46088","RB","Jhurell","Pressley","0","0","4500","CHI@GB","GB","CHI","","","",""
"16650-40932","WR","Pharoh","Cooper","0","1","4500","NYG@LA","LA","NYG","","","",""
"16650-30654","TE","Jerell","Adams","3.700000047683716","1","4500","NYG@LA","NYG","LA","","","",""
"16650-25554","RB","Nikita","Whitlock","0","14","4500","NYG@LA","NYG","LA","O","Suspension","",""
