Player , Kickoff , Opponent , Spread , Over/Under , Predicted Score , Weather , Projected Rank , Salary Rank , Difference , Projected Points , Salary , CPP 
Tom Brady (NE - QB),Sun 4:25PM,@PIT,NE (-7.5),48.5,NE 28,"Partly Cloudy, 64 F, 11 mph",1,1,0,22,"$9,100",$414
Matt Ryan (ATL - QB),Sun 4:05PM,SD,ATL (-5.5),53,ATL 29,Indoor,2,2,0,21.52,"$8,700",$404
Philip Rivers (SD - QB),Sun 4:05PM,@ATL,SD (+5.5),53,SD 24,Indoor,3,11,+8,20.86,"$7,800",$374
Matthew Stafford (DET - QB),Sun 1:00PM,WAS,DET (+1),50,DET 25,Indoor,4,10,+6,20.4,"$7,900",$387
Andy Dalton (CIN - QB),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",5,7,+2,20.14,"$8,100",$402
Andrew Luck (IND - QB),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",6,6,0,19.67,"$8,200",$417
Marcus Mariota (TEN - QB),Sun 1:00PM,IND,TEN (-3.5),48,TEN 26,"Clear, 64 F, 6 mph",7,9,+2,19.32,"$7,900",$409
Drew Brees (NO - QB),Sun 1:00PM,@KC,NO (+7),51,NO 22,"Clear, 64 F, 10 mph",8,3,-5,19.08,"$8,500",$445
Kirk Cousins (WAS - QB),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,9,18,+9,18.94,"$7,300",$385
Blake Bortles (JAC - QB),Sun 1:00PM,OAK,JAC (-2),47,JAC 25,"Clear, 68 F, 8 mph",10,16,+6,18.94,"$7,400",$391
Derek Carr (OAK - QB),Sun 1:00PM,@JAC,OAK (+2),47,OAK 23,"Clear, 68 F, 8 mph",11,5,-6,18.74,"$8,300",$443
Jameis Winston (TB - QB),Sun 4:05PM,@SF,TB (+1),45,TB 22,"Clear, 70 F, 5 mph",12,15,+3,18.48,"$7,500",$406
Alex Smith (KC - QB),Sun 1:00PM,NO,KC (-7),51,KC 29,"Clear, 64 F, 10 mph",13,20,+7,18.41,"$7,200",$391
Russell Wilson (SEA - QB),Sun 8:30PM,@ARI,SEA (+1),43.5,SEA 21,Indoor,14,8,-6,18.15,"$8,000",$441
