Player , Kickoff , Opponent , Spread , Over/Under , Predicted Score , Weather , Projected Rank , Salary Rank , Difference , Projected Points , Salary , CPP 
DeMarco Murray (TEN - RB),Sun 1:00PM,IND,TEN (-3.5),48,TEN 26,"Clear, 64 F, 6 mph",1,2,+1,19.22,"$8,700",$453
Le'Veon Bell (PIT - RB),Sun 4:25PM,NE,PIT (+7.5),48.5,PIT 21,"Partly Cloudy, 64 F, 11 mph",2,3,+1,18.27,"$8,600",$471
David Johnson (ARI - RB),Sun 8:30PM,SEA,ARI (-1),43.5,ARI 22,Indoor,3,4,+1,17.6,"$8,500",$483
Devonta Freeman (ATL - RB),Sun 4:05PM,SD,ATL (-5.5),52.5,ATL 29,Indoor,4,9,+5,15.32,"$7,500",$489
Spencer Ware (KC - RB),Sun 1:00PM,NO,KC (-7),51.5,KC 29,"Clear, 64 F, 10 mph",5,13,+8,15.05,"$7,000",$465
Melvin Gordon (SD - RB),Sun 4:05PM,@ATL,SD (+5.5),52.5,SD 24,Indoor,6,5,-1,14.83,"$8,000",$539
Christine Michael (SEA - RB),Sun 8:30PM,@ARI,SEA (+1),43.5,SEA 21,Indoor,7,8,+1,13.85,"$7,600",$549
Lamar Miller (HOU - RB),Mon 8:30PM,@DEN,HOU (+7.5),40.5,HOU 17,"Clear, 68 F, 3 mph",8,6,-2,13.84,"$7,700",$556
Mark Ingram (NO - RB),Sun 1:00PM,@KC,NO (+7),51.5,NO 22,"Clear, 64 F, 10 mph",9,19,+10,13.31,"$6,600",$496
C.J. Anderson (DEN - RB),Mon 8:30PM,HOU,DEN (-7.5),40.5,DEN 24,"Clear, 68 F, 3 mph",10,11,+1,12.78,"$7,200",$563
Jacquizz Rodgers (TB - RB),Sun 4:05PM,@SF,TB (+1),45,TB 22,"Clear, 70 F, 5 mph",11,32,+21,12.43,"$5,600",$451
Tevin Coleman (ATL - RB),Sun 4:05PM,SD,ATL (-5.5),52.5,ATL 29,Indoor,12,27,+15,11.88,"$6,200",$522
Terrance West (BAL - RB),Sun 1:00PM,@NYJ,BAL (+2.5),40,BAL 19,"Clear, 56 F, 14 mph",13,14,+1,11.75,"$6,900",$587
Matt Jones (WAS - RB),Sun 1:00PM,@DET,WAS (-1),50,WAS 26,Indoor,14,17,+3,11.54,"$6,700",$581
Giovani Bernard (CIN - RB),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",15,24,+9,11.46,"$6,300",$550
LeGarrette Blount (NE - RB),Sun 4:25PM,@PIT,NE (-7.5),48.5,NE 28,"Partly Cloudy, 64 F, 11 mph",16,12,-4,11.09,"$7,100",$640
Frank Gore (IND - RB),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",17,23,+6,10.74,"$6,400",$596
James White (NE - RB),Sun 4:25PM,@PIT,NE (-7.5),48.5,NE 28,"Partly Cloudy, 64 F, 11 mph",18,28,+10,10.54,"$6,100",$579
Jerick McKinnon (MIN - RB),Sun 1:00PM,@PHI,MIN (-3),39,MIN 21,"Partly Cloudy, 58 F, 12 mph",19,20,+1,10.48,"$6,500",$620
Jay Ajayi (MIA - RB),Sun 1:00PM,BUF,MIA (+2.5),45,MIA 21,"Clear, 78 F, 11 mph",20,21,+1,10.46,"$6,400",$612
Jeremy Hill (CIN - RB),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",21,15,-6,10.4,"$6,800",$654
