Player , Kickoff , Opponent , Spread , Over/Under , Predicted Score , Weather , Projected Rank , Salary Rank , Difference , Projected Points , Salary , CPP 
Rob Gronkowski (NE - TE),Sun 4:25PM,@PIT,NE (-7.5),48.5,NE 28,"Partly Cloudy, 64 F, 11 mph",1,1,0,13.6,"$8,500",$625
Travis Kelce (KC - TE),Sun 1:00PM,NO,KC (-7),51.5,KC 29,"Clear, 64 F, 10 mph",2,5,+3,11.14,"$6,300",$566
Delanie Walker (TEN - TE),Sun 1:00PM,IND,TEN (-3.5),48,TEN 26,"Clear, 64 F, 6 mph",3,4,+1,10.64,"$6,500",$611
Jimmy Graham (SEA - TE),Sun 8:30PM,@ARI,SEA (+1),43.5,SEA 21,Indoor,4,3,-1,10.21,"$6,700",$656
Hunter Henry (SD - TE),Sun 4:05PM,@ATL,SD (+5.5),52.5,SD 24,Indoor,5,8,+3,9.12,"$5,800",$636
Martellus Bennett (NE - TE),Sun 4:25PM,@PIT,NE (-7.5),48.5,NE 28,"Partly Cloudy, 64 F, 11 mph",6,9,+3,9,"$5,800",$644
Kyle Rudolph (MIN - TE),Sun 1:00PM,@PHI,MIN (-3),39,MIN 21,"Partly Cloudy, 58 F, 12 mph",7,14,+7,8.9,"$5,400",$606
Coby Fleener (NO - TE),Sun 1:00PM,@KC,NO (+7),51.5,NO 22,"Clear, 64 F, 10 mph",8,7,-1,8.82,"$5,900",$669
Gary Barnidge (CLE - TE),Sun 1:00PM,@CIN,CLE (+11),46,CLE 18,"Clear, 60 F, 9 mph",9,18,+9,8.79,"$5,200",$592
Julius Thomas (JAC - TE),Sun 1:00PM,OAK,JAC (-2),47.5,JAC 25,"Clear, 68 F, 8 mph",10,12,+2,8.72,"$5,500",$631
Jack Doyle (IND - TE),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",11,28,+17,8.64,"$4,700",$544
Dennis Pitta (BAL - TE),Sun 1:00PM,@NYJ,BAL (+2.5),40,BAL 19,"Clear, 56 F, 14 mph",12,16,+4,7.67,"$5,300",$691
Cameron Brate (TB - TE),Sun 4:05PM,@SF,TB (+1),45,TB 22,"Clear, 70 F, 5 mph",13,17,+4,7.57,"$5,200",$687
Charles Clay (BUF - TE),Sun 1:00PM,@MIA,BUF (-2.5),45,BUF 24,"Clear, 78 F, 11 mph",14,20,+6,7.54,"$5,100",$676
