Player , Kickoff , Opponent , Spread , Over/Under , Predicted Score , Weather , Projected Rank , Salary Rank , Difference , Projected Points , Salary , CPP 
Julio Jones (ATL - WR),Sun 4:05PM,SD,ATL (-5.5),52.5,ATL 29,Indoor,1,1,0,18.31,"$9,200",$503
A.J. Green (CIN - WR),Sun 1:00PM,CLE,CIN (-11),46,CIN 29,"Clear, 60 F, 9 mph",2,3,+1,17.14,"$8,500",$496
Mike Evans (TB - WR),Sun 4:05PM,@SF,TB (+1),45,TB 22,"Clear, 70 F, 5 mph",3,5,+2,15.91,"$8,000",$503
Allen Robinson (JAC - WR),Sun 1:00PM,OAK,JAC (-2),47.5,JAC 25,"Clear, 68 F, 8 mph",4,4,0,15.13,"$8,400",$555
T.Y. Hilton (IND - WR),Sun 1:00PM,@TEN,IND (+3.5),48,IND 22,"Clear, 64 F, 6 mph",5,8,+3,14.73,"$7,800",$530
Amari Cooper (OAK - WR),Sun 1:00PM,@JAC,OAK (+2),47.5,OAK 23,"Clear, 68 F, 8 mph",6,7,+1,14.64,"$7,900",$540
Brandon Marshall (NYJ - WR),Sun 1:00PM,BAL,NYJ (-2.5),40,NYJ 21,"Clear, 56 F, 14 mph",7,11,+4,14.29,"$7,400",$518
Antonio Brown (PIT - WR),Sun 4:25PM,NE,PIT (+7.5),48.5,PIT 21,"Partly Cloudy, 64 F, 11 mph",8,2,-6,13.58,"$9,000",$663
Marvin Jones (DET - WR),Sun 1:00PM,WAS,DET (+1),50,DET 25,Indoor,9,9,0,13.29,"$7,700",$580
Jarvis Landry (MIA - WR),Sun 1:00PM,BUF,MIA (+2.5),45,MIA 21,"Clear, 78 F, 11 mph",10,18,+8,13.08,"$7,000",$535
Jeremy Maclin (KC - WR),Sun 1:00PM,NO,KC (-7),51.5,KC 29,"Clear, 64 F, 10 mph",11,23,+12,13.08,"$6,800",$520
Brandin Cooks (NO - WR),Sun 1:00PM,@KC,NO (+7),51.5,NO 22,"Clear, 64 F, 10 mph",12,10,-2,12.79,"$7,700",$602
Larry Fitzgerald (ARI - WR),Sun 8:30PM,SEA,ARI (-1),43.5,ARI 22,Indoor,13,16,+3,12.44,"$7,100",$571
Michael Crabtree (OAK - WR),Sun 1:00PM,@JAC,OAK (+2),47.5,OAK 23,"Clear, 68 F, 8 mph",14,14,0,11.87,"$7,200",$606
Demaryius Thomas (DEN - WR),Mon 8:30PM,HOU,DEN (-7.5),40.5,DEN 24,"Clear, 68 F, 3 mph",15,12,-3,11.85,"$7,300",$616
